id ; popSize ; tournament ; mutation ; crossover ; preserveCommonLink ; swapMutation ; numOfCycles ; duration ; best ; av ; worst ; bestFitness ; bestResult
28 ; 25 ; 2 ; 1.0 ; 100 ; true ; false ; 890 ; 2895 ; 682.7713914976642 ; 756.2110559648017 ; 884.6216346055734 ; 681.2746960725692 ; 1.0 ; [Berlin, StPetersburg, Saransk, Wolgograd, Sotschi, Vilnius, Warschau, Budapest, Kaliningrad, Mins, Riga, Kiew, Samara, Kasan, Rostow, Moskau, Nowgorod, Jekaterinenburg, Kischinau, Wien, Prag, Berlin]
29 ; 25 ; 2 ; 1.0 ; 100 ; true ; false ; 1000 ; 2923 ; 682.7713914976641 ; 763.6829292462461 ; 861.5795612390607 ; 681.2746960725692 ; 1.0 ; [Berlin, StPetersburg, Saransk, Wolgograd, Sotschi, Vilnius, Warschau, Budapest, Kaliningrad, Mins, Riga, Kiew, Samara, Kasan, Rostow, Moskau, Nowgorod, Jekaterinenburg, Kischinau, Wien, Prag, Berlin]
30 ; 25 ; 2 ; 16.0 ; 1 ; true ; false ; 10 ; 12 ; 815.8175121013129 ; 1051.8899358703593 ; 1184.7018360658858 ; 815.8175121013129 ; 1.2257643224944823 ; [Berlin, Sotschi, Rostow, Riga, Wolgograd, Samara, Wien, Budapest, Prag, Warschau, Mins, Kasan, Jekaterinenburg, Moskau, StPetersburg, Nowgorod, Vilnius, Kischinau, Kaliningrad, Kiew, Saransk, Berlin]
31 ; 25 ; 2 ; 16.0 ; 1 ; true ; false ; 120 ; 114 ; 771.964460995079 ; 1063.4305686790758 ; 1241.2638941002874 ; 771.964460995079 ; 1.0568070854579321 ; [Berlin, Prag, Budapest, Kischinau, Saransk, Jekaterinenburg, Warschau, Mins, Nowgorod, Kiew, Sotschi, Rostow, Kasan, Samara, Wolgograd, Wien, Vilnius, Kaliningrad, Riga, StPetersburg, Moskau, Berlin]
32 ; 25 ; 2 ; 16.0 ; 1 ; true ; false ; 230 ; 102 ; 812.6188594675032 ; 1101.503192050416 ; 1281.7207745250134 ; 771.964460995079 ; 1.0 ; [Berlin, Prag, Budapest, Kischinau, Saransk, Jekaterinenburg, Warschau, Mins, Nowgorod, Kiew, Sotschi, Rostow, Kasan, Samara, Wolgograd, Wien, Vilnius, Kaliningrad, Riga, StPetersburg, Moskau, Berlin]
33 ; 25 ; 2 ; 16.0 ; 1 ; true ; false ; 340 ; 85 ; 809.992487335493 ; 1082.6273400349837 ; 1241.2638941002874 ; 771.964460995079 ; 1.0 ; [Berlin, Prag, Budapest, Kischinau, Saransk, Jekaterinenburg, Warschau, Mins, Nowgorod, Kiew, Sotschi, Rostow, Kasan, Samara, Wolgograd, Wien, Vilnius, Kaliningrad, Riga, StPetersburg, Moskau, Berlin]
34 ; 25 ; 2 ; 16.0 ; 1 ; true ; false ; 450 ; 84 ; 962.7725224588223 ; 1083.3904267360047 ; 1266.098104324776 ; 771.964460995079 ; 1.0 ; [Berlin, Prag, Budapest, Kischinau, Saransk, Jekaterinenburg, Warschau, Mins, Nowgorod, Kiew, Sotschi, Rostow, Kasan, Samara, Wolgograd, Wien, Vilnius, Kaliningrad, Riga, StPetersburg, Moskau, Berlin]
35 ; 25 ; 2 ; 16.0 ; 1 ; true ; false ; 560 ; 75 ; 834.2077541162632 ; 1128.001501961166 ; 1325.3809099855487 ; 771.964460995079 ; 1.0 ; [Berlin, Prag, Budapest, Kischinau, Saransk, Jekaterinenburg, Warschau, Mins, Nowgorod, Kiew, Sotschi, Rostow, Kasan, Samara, Wolgograd, Wien, Vilnius, Kaliningrad, Riga, StPetersburg, Moskau, Berlin]
36 ; 25 ; 2 ; 16.0 ; 1 ; true ; false ; 670 ; 84 ; 907.3763229208349 ; 1131.04488870152 ; 1325.3809099855487 ; 771.964460995079 ; 1.0 ; [Berlin, Prag, Budapest, Kischinau, Saransk, Jekaterinenburg, Warschau, Mins, Nowgorod, Kiew, Sotschi, Rostow, Kasan, Samara, Wolgograd, Wien, Vilnius, Kaliningrad, Riga, StPetersburg, Moskau, Berlin]
37 ; 25 ; 2 ; 16.0 ; 1 ; true ; false ; 780 ; 85 ; 863.7406834533742 ; 1128.3709833232037 ; 1325.3809099855487 ; 771.964460995079 ; 1.0 ; [Berlin, Prag, Budapest, Kischinau, Saransk, Jekaterinenburg, Warschau, Mins, Nowgorod, Kiew, Sotschi, Rostow, Kasan, Samara, Wolgograd, Wien, Vilnius, Kaliningrad, Riga, StPetersburg, Moskau, Berlin]
38 ; 25 ; 2 ; 16.0 ; 1 ; true ; false ; 890 ; 68 ; 875.1996860531426 ; 1065.6752383044497 ; 1325.3809099855487 ; 771.964460995079 ; 1.0 ; [Berlin, Prag, Budapest, Kischinau, Saransk, Jekaterinenburg, Warschau, Mins, Nowgorod, Kiew, Sotschi, Rostow, Kasan, Samara, Wolgograd, Wien, Vilnius, Kaliningrad, Riga, StPetersburg, Moskau, Berlin]
39 ; 25 ; 2 ; 16.0 ; 1 ; true ; false ; 1000 ; 91 ; 897.6678700570993 ; 1085.205903978014 ; 1325.3809099855487 ; 771.964460995079 ; 1.0 ; [Berlin, Prag, Budapest, Kischinau, Saransk, Jekaterinenburg, Warschau, Mins, Nowgorod, Kiew, Sotschi, Rostow, Kasan, Samara, Wolgograd, Wien, Vilnius, Kaliningrad, Riga, StPetersburg, Moskau, Berlin]
40 ; 25 ; 2 ; 16.0 ; 51 ; true ; false ; 10 ; 129 ; 876.5087458675714 ; 961.5437432184549 ; 1095.8840101240135 ; 751.1783932300809 ; 1.331241698393349 ; [Berlin, Riga, Kiew, Budapest, Rostow, Vilnius, Moskau, Sotschi, Samara, Jekaterinenburg, Kaliningrad, StPetersburg, Saransk, Wolgograd, Kischinau, Mins, Nowgorod, Wien, Kasan, Prag, Warschau, Berlin]
41 ; 25 ; 2 ; 16.0 ; 51 ; true ; false ; 120 ; 1366 ; 773.6612555472079 ; 909.9820435934265 ; 1158.8524206360366 ; 683.8675209300333 ; 1.0984267716187304 ; [Berlin, Moskau, Rostow, Jekaterinenburg, Saransk, Nowgorod, StPetersburg, Wien, Riga, Kischinau, Kaliningrad, Mins, Kiew, Sotschi, Wolgograd, Samara, Kasan, Vilnius, Warschau, Budapest, Prag, Berlin]
42 ; 25 ; 2 ; 16.0 ; 51 ; true ; false ; 230 ; 1424 ; 676.4734827910561 ; 754.4872695233197 ; 869.9084895719469 ; 633.4781212362491 ; 1.0795440252860635 ; [Berlin, Kaliningrad, Kiew, Kasan, Moskau, Mins, Riga, Budapest, Rostow, Sotschi, Wolgograd, Samara, Jekaterinenburg, Saransk, Nowgorod, StPetersburg, Vilnius, Wien, Kischinau, Warschau, Prag, Berlin]
43 ; 25 ; 2 ; 16.0 ; 51 ; true ; false ; 340 ; 1766 ; 640.2104510150938 ; 718.9613100637775 ; 852.1769952953592 ; 633.4781212362491 ; 1.0 ; [Berlin, Kaliningrad, Kiew, Kasan, Moskau, Mins, Riga, Budapest, Rostow, Sotschi, Wolgograd, Samara, Jekaterinenburg, Saransk, Nowgorod, StPetersburg, Vilnius, Wien, Kischinau, Warschau, Prag, Berlin]
44 ; 25 ; 2 ; 16.0 ; 51 ; true ; false ; 450 ; 1438 ; 589.5161120248792 ; 744.3003213857439 ; 920.0941213674517 ; 537.439769037788 ; 1.1786960283389607 ; [Berlin, Prag, Budapest, Wien, Kiew, Mins, Riga, Kischinau, Warschau, Vilnius, Sotschi, Kasan, Samara, Jekaterinenburg, Nowgorod, Saransk, Wolgograd, Rostow, Moskau, StPetersburg, Kaliningrad, Berlin]
45 ; 25 ; 2 ; 16.0 ; 51 ; true ; false ; 560 ; 1349 ; 592.0191223941664 ; 691.8621265220607 ; 943.7128481585529 ; 537.439769037788 ; 1.0 ; [Berlin, Prag, Budapest, Wien, Kiew, Mins, Riga, Kischinau, Warschau, Vilnius, Sotschi, Kasan, Samara, Jekaterinenburg, Nowgorod, Saransk, Wolgograd, Rostow, Moskau, StPetersburg, Kaliningrad, Berlin]
46 ; 25 ; 2 ; 16.0 ; 51 ; true ; false ; 670 ; 1381 ; 581.5555659687182 ; 741.5957911541851 ; 993.2626471878642 ; 537.439769037788 ; 1.0 ; [Berlin, Prag, Budapest, Wien, Kiew, Mins, Riga, Kischinau, Warschau, Vilnius, Sotschi, Kasan, Samara, Jekaterinenburg, Nowgorod, Saransk, Wolgograd, Rostow, Moskau, StPetersburg, Kaliningrad, Berlin]
47 ; 25 ; 2 ; 16.0 ; 51 ; true ; false ; 780 ; 1416 ; 604.7627242878591 ; 703.6050258997685 ; 1105.7302681195642 ; 537.439769037788 ; 1.0 ; [Berlin, Prag, Budapest, Wien, Kiew, Mins, Riga, Kischinau, Warschau, Vilnius, Sotschi, Kasan, Samara, Jekaterinenburg, Nowgorod, Saransk, Wolgograd, Rostow, Moskau, StPetersburg, Kaliningrad, Berlin]
48 ; 25 ; 2 ; 16.0 ; 51 ; true ; false ; 890 ; 1703 ; 596.4666952558903 ; 723.2633500843206 ; 932.4188070474016 ; 537.439769037788 ; 1.0 ; [Berlin, Prag, Budapest, Wien, Kiew, Mins, Riga, Kischinau, Warschau, Vilnius, Sotschi, Kasan, Samara, Jekaterinenburg, Nowgorod, Saransk, Wolgograd, Rostow, Moskau, StPetersburg, Kaliningrad, Berlin]
